1-1. 現在の職種を教えて下さい,,1-2. 現在の職種を教えて下さい,,1-3. 現在の職種を教えて下さい,,1-4. 現在の職種を教えて下さい,,1-5. 現在の職種を教えて下さい,,1-6. 現在の職種を教えて下さい,,1-7. 現在の職種を教えて下さい,,1-8. 現在の職種を教えて下さい,,1-9. 現在の職種を教えて下さい,,1-10. 現在の職種を教えて下さい,,1-11. 現在の職種を教えて下さい,,1-12. 現在の職種を教えて下さい,,1-13. 現在の職種を教えて下さい,,1-14. 現在の職種を教えて下さい,,2. 仕事が機械に奪われるという危機感を感じるか,,3. 具体的にはどのような仕事か
,,,,,,,,5,Web・インターネット・ゲーム ,,,,,,,,,,,,,,,,,,,1,感じている,"文章を書いています。
そのうち人工知能が文章を書くなんて簡単になってしまうと思うからです。"
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,3,どちらかと言えば感じていない,品出しをしたり、レジ打ち
,,2,事務・管理,,,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,生産工程のスケジュール管理。
,,,,,,,,,,,,,,,,,,,,,,,,13,技能工・設備・交通・運輸,,,2,どちらかと言えば感じている,AIの進化やロボット産業が一般化されれば技能職の人材は必要最小限に減るような気がします。
,,,,3,企画・マーケティング・経営・管理職 ,,,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,音楽制作や作曲家のマネジメントの仕事をしているが、いずれAIが作曲するということも起こりうる。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,2,どちらかと言えば感じている,大手回転寿司のように、他の飲食店でも注文から配膳まで機械で行われるようになると思います。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,スーパーのレジ、映画館のチケット売り場
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,"レジ
もう既に無人レジが増えてきている"
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,計算をともなうような事務などの仕事。
,,,,,,4,サービス・販売・外食 ,,,,,,,,,,,,,,,,,,,,,4,感じていない,サービス業、接客飲み屋なので機械としゃべっててもつまらないと思うので。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,2,どちらかと言えば感じている,お店の案内を機械が行なっている仕事
,,,,,,,,,,,,,,,,,,,,11,医療・福祉・介護 ,,,,,,,4,感じていない,要支援や要介護の方の運動機能の向上を目的とした体操や、マシンの指導など。
,,,,,,,,,,,,,,,,,,,,,,,,,,14,教育・保育・公務員・農林水産・その他,4,感じていない,障害のある子供の放課後デイサービスのお手伝い
